Country,Indicator,latest_value
Albania,"Employment outside the Formal Sector by sex and age (thousands), Male, 15-24",54.42
Albania,"Employment outside the Formal Sector by sex and age (thousands), Male, 15-64",435.0
Albania,"Share of Employment outside the Formal Sector by sex and age (%), Female, 25 and above",61.6
Albania,"Inflation, percent change pre-COVID-19 baseline",3.0
Albania,Inequality in income,19.73
Albania,"Inequality-adjusted Human Development Index, difference from non-adjusted HDI value",12.93
Albania,"Poverty headcount ratio at $2.15 a day (2017 PPP), % of population",0.4
Albania,"Poverty headcount ratio at $3.65 a day (2017 PPP), % of population",1.5
Albania,"Poverty headcount ratio at $6.85 a day (2017 PPP), % of population",13.7
Albania,"Gross National Income Per Capita, male (2017 PPP$)",17398.0
Albania,"Share of Employment outside the Formal Sector by sex and age (%), Male, 15-24",78.7
Albania,"Gross Domestic Product (GDP), percent change",3.4
Albania,"Proportion of population above statutory pensionable age receiving a pension, female",100.0
Albania,"Proportion of population above statutory pensionable age receiving a pension, male",100.0
Albania,"Share of Employment outside the Formal Sector by sex (%), Male",66.9
Albania,"Gross National Income Per Capita, female (2017 PPP$)",13198.54
Albania,"Employment outside the Formal Sector by sex and age (thousands), Male, 25 and above",415.39
Albania,"Employment outside the Formal Sector by sex (thousands), Total",819.36
Albania,"Employment in agriculture, % of total employment",34.62
Albania,Mean household per capita out-of-pocket health spending ($ 2011 PPP),171.86
Albania,"Share of Employment outside the Formal Sector by age (%), 25 and above",63.8
Albania,"Employment outside the Formal Sector by sex (thousands), Male",469.8
Albania,"Population living in slums, % of urban population",2.8
Albania,"Share of Employment outside the Formal Sector by sex (%), Total",64.8
Albania,Score of adoption and implementation of national disaster risk reduction (DRR) strategies in line with the Sendai Framework,0.9
Albania,Coefficient of human inequality,12.81
Albania,Climate Risks Index Score,113.5
Albania,Human development index (HDI),0.789
Albania,"Climate Change-related change in death rates per 100,000 population (RCP4.5 SSP3)",-10.22
Albania,"Gross Domestic Product per capita, purchasing power parity (current international USD)",18603.41
Albania,"Human Development Index, female",0.78
Albania,Government Response Stringency Index,21.52
Albania,Climate Change Readiness Score,0.41
Albania,"Change in absolute number of people exposed to Floods - SSP3, RCP 8.5 (2050)",-17494.53
Albania,Ambient particulate matter pollution exposure,18.64
Albania,Percent of firms formally registered when they started operations in the country,98.9
Albania,Civil society index,0.86
Albania,Rule of Law Index,-0.26
Albania,CSO participatory environment,1.3
Albania,Migrant Acceptance Index,42.96
Albania,"Share of Informal employment by sex (%), Female",53.8
Albania,"Informal employment by sex and economic activity (thousands), Female, Agriculture",233.36
Albania,"Employment outside the Formal Sector by sex and status in employment (thousands), Male, Employees",90.08
Albania,Gender Development Index,0.98
Albania,Proporiton of Adults Who Want Lower Immigration Levels,25.52
Albania,"Employment outside the Formal Sector by sex and status in employment (thousands), Total, Self-employed",668.06
Albania,"Share of Informal employment by sex and age (%), Male, 15 and above",59.0
Albania,"Population Using at least Basic Sanitation Services, urban, percent",99.3
Albania,"Informal employment by sex and economic activity (thousands), Total, Agriculture",457.92
Albania,"Share of Informal employment by sex (%), Total",56.7
Albania,"Employment outside the Formal Sector by sex and status in employment (thousands), Male, Self-employed",379.72
Albania,"Share of Informal employment by sex and age (%), Female, 25 and above",53.4
Albania,"Informal employment by sex and economic activity (thousands), Male, Non-agriculture",189.6
Albania,"Informal employment by sex and economic activity (thousands), Total, Non-agriculture",259.08
Albania,"Change in absolute number of people exposed to coastal floods - SSP3, RCP 8.5 (2050)",3806.47
Albania,"Change in absolute number of people exposed to malaria and dengue -SSP3, RCP 8.5 (2050)",274979.76
Albania,"Share of Informal employment by sex (%), Male",59.0
Albania,Percent of firms competing against unregistered or informal firms,46.3
Albania,"Access to electricity, urban (% of urban population)",100.0
Albania,"Access to water services, percent of population",70.74
Albania,"Population Using at least Basic Drinking-Water Services, urban, percent",95.66
Albania,"Total Government Fiscal Response during the COVID-19 Pandemic, USD",539413017.0
Albania,"Population Using at least Basic Drinking-Water Services, rural, percent",94.09
Albania,"Population Using at least Basic Drinking-Water Services, total, percent",95.09
Albania,Proportion of local governments that adopt and implement local disaster risk reduction (DRR) strategies in line with national disaster risk reduction strategies (%),11.48
Albania,Climate Risk Index Ranking,125.0
Albania,Climate Vulnerability Ranking,92.0
Albania,Terrestrial protected areas (% of total land area),18.59
Albania,Inequality-adjusted Human Development Index,0.69
Albania,Access to electricity (% of population),100.0
Albania,"Chemicals Manufacturing, percent of value added",2.37
Albania,"COVID-19 IFI financial response packages, USD",190500000.0
Albania,"Change in Human Hazard & Exposure to conflict -SSP3, RCP 8.5 (2050)",0.1
Albania,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",13.26
Albania,"Share of Employment outside the Formal Sector by sex and age (%), Female, 15 and above",62.1
Albania,Percent of firms choosing practices of the informal sector as their biggest obstacle,11.3
Albania,"Renewable energy consumption, percent of total final energy consumption",40.2
Albania,"Small enterprises, % of all enterprises",4.94
Albania,"SMEs, % of all enterprises",8.81
Albania,"Informal employment by sex (thousands), Total",717.0
Albania,"Medium enterprises, % of all enterprises",3.88
Albania,"Percent change in Gross Domestic Product, pre-COVID-19 baseline",4.0
Albania,"MSMEs, % of all enterprises",98.87
Albania,"Large enterprises, % of all enterprises",1.13
Albania,"Micro enterprises, % of all enterprises",90.06
Albania,"Ores and metals exports, percent of merchandise exports",0.06
Albania,"Change in absolute number of people exposed to drought - SSP3, RCP 8.5 (2050)",968304.8
Albania,"Access to electricity, rural (% of rural population)",100.0
Algeria,"Unemployment rate, pre-COVID-19 baseline",18.81
Algeria,Unemployment rate,11.38
Algeria,Youth Unemployment (% of total labor force ages 15-24),29.03
Algeria,Share of Parliament Seats Held by Men,92.99
Algeria,Planetary pressures adjusted Human Development Index,0.7
Algeria,Score of adoption and implementation of national disaster risk reduction (DRR) strategies in line with the Sendai Framework,0.75
Algeria,Proportion of local governments that adopt and implement local disaster risk reduction (DRR) strategies in line with national disaster risk reduction strategies (%),100.0
Algeria,"Material footprint per capita, tonnes",8.72
Algeria,Human Flight and Brain Drain Score,5.4
Algeria,Fragile States Index,20.77
Algeria,Extent of Monopoly on Use of Force,9.0
Algeria,Economic Inequality Score,72.2
Algeria,"Percent change in Gross Domestic Product, pre-COVID-19 baseline",0.79
Algeria,"Internet users, total (% of population)",62.9
Algeria,"Estimates of Informal Output, percentage of official gross domestic product (GDP)",27.91
Algeria,Security Apparatus Score,6.1
Algeria,"Proportion of population above statutory pensionable age receiving a pension, total",63.6
Algeria,"Poverty headcount ratio at $3.65 a day (2017 PPP), % of population",4.0
Algeria,"Mean Daily CO2 Emissions Change associated with COVID-19, percent",-27.1
Algeria,Share of female sole proprietors,6.62
Algeria,"Greenhouse Gas (GHG) emissions, MtCO2e",267.01
Algeria,Multidimensional Poverty Index,0.01
Algeria,"Urban Population, total",33575039.0
Algeria,"Rule of Law Index, percentile rank",22.6
Algeria,Share of female directors of new LLCs,6.78
Algeria,Coverage of protected areas in relation to marine areas,74.5
Algeria,Gender Development Index,0.88
Algeria,External Peace Score,5.3
Algeria,"Employed Covered in the Event of Work Injury, percent",53.8
Algeria,CSO participatory environment,-0.73
Algeria,Refugee population by country or territory of asylum,99107.0
Algeria,Government Integrity,27.7
Algeria,Judicial Effectiveness,28.9
Algeria,Tax Burden,79.4
Algeria,Government Spending,54.7
Algeria,Fiscal Health,13.8
Algeria,Business Freedom,54.4
Algeria,Labor Freedom,51.4
Algeria,Monetary Freedom,71.9
Algeria,Trade Freedom,57.4
Algeria,Investment Freedom,30.0
Algeria,Financial Freedom,30.0
Algeria,Factionalized Elites Score,7.2
Algeria,"Rural Population, total",11328186.0
Algeria,Civil society index,0.18
Algeria,"Access to internet, percent of population",70.77
Algeria,"Poverty headcount ratio at $6.85 a day (2017 PPP), % of population",36.6
Algeria,Proportion of Labour Force with Advanced Education,50.17
Algeria,Forest area (% of land area),0.82
Algeria,"Freshwater withdrawal, proportion of available freshwater resources",137.92
Algeria,Household air pollution from solid fuels,0.01
Algeria,Terrestrial protected areas (% of total land area),4.64
Algeria,"Inflation, percent change",9.47
Algeria,"Net debt as percent of Gross Domestic Product (GDP),  pre-COVID-19 baseline",51.03
Algeria,"International Migrant Stock at Mid-Year, total",250378.0
Algeria,"Population ages 65 and above, % of total population",6.39
Algeria,"Population, total",46278752.0
Algeria,Gini Index,27.6
Algeria,Multidimensional Poverty Intensity,39.2
Algeria,Property Rights,27.5
Algeria,"Employment in agriculture, % of total employment",10.32
Algeria,"Inequality-adjusted Human Development Index, difference from non-adjusted HDI value",21.07
Algeria,"Renewable Internal Freshwater Resources per Capita, cubic meters",258.84
Algeria,Government Response Stringency Index,25.55
Algeria,"Change in Human Hazard & Exposure to conflict -SSP3, RCP 8.5 (2050)",0.1
Algeria,"Planetary pressures adjusted Human Development Index, differnece from non-adjusted HDI value",5.77
Algeria,"Human Development Index, male",0.77
Algeria,"Climate Change-related change in death rates per 100,000 population (RCP4.5 SSP3)",10.08
Algeria,"Access to electricity, urban (% of urban population)",99.88
Algeria,Coefficient of human inequality,20.51
Algeria,Consumption of controlled substance (zero-filled) - Chemical: Hydrochlorofluorocarbons (HCFCs),38.3
Algeria,"Population Using at least Basic Drinking-Water Services, rural, percent",90.37
Algeria,"Population Using at least Basic Drinking-Water Services, total, percent",94.66
Algeria,"Access to water services, percent of population",70.6
